district_id;car_density;ecar_share;publictransport_meandist;population;green_voteshare;afd_voteshare
7337;694.6;2.2;313.9;112631;12.9;9.6
7338;660.1;1.8;446.7;155921;12.4;10.6
7339;667.5;2.2;321;214948;16.1;7.2
7340;715.7;1.7;539.8;94899;7.2;11.9
8111;478.5;3.8;222.3;632865;25.1;5.6
8115;646.3;3.8;244.4;398528;16.8;8.7
8116;624.9;3;215.5;540226;17.5;8.1
8117;645.1;2.1;239.5;261857;12.6;11.5
8118;610.4;2.3;231.6;551051;17.6;8.8
8119;624.2;2.3;263.4;432397;15;9.8
8121;536.9;1.8;195.9;128334;15.2;12.3
8125;708.6;2.1;310.4;353283;12.7;12.9
8126;739.3;2.1;307.8;115063;12.5;13.5
8127;658.1;2.2;354.7;202834;13.8;12.3
8128;676.1;1.7;626.1;134745;11.9;11.4
8135;637.9;1.6;314.7;135035;12.4;12.1
8136;654.6;1.9;286.7;319631;13.3;10.4
8211;629.1;2.7;227.6;57025;17.2;8.1
8212;460.2;2.8;218.5;308707;27.8;6.8
8215;629;2.3;312.5;454613;15.3;10.5
8216;652.1;2.4;374.8;234981;13.6;11.2
8221;378.1;2.3;179.9;162273;32.9;4.8
8222;491.7;2;199.9;315554;21.2;9.1
8225;663.5;1.9;473.1;145493;10.3;12.5
8226;643;2.5;275.2;555352;16.6;9.4
8231;496.2;2.1;144.3;127849;12.4;15.9
8235;662.7;3.1;320.4;162853;11.8;12.9
8236;668.1;2.4;299.4;202536;13.3;12.5
8237;652.5;1.9;535.8;121164;10.9;12.8
8311;404.2;2.6;208.2;236140;36;4.4
8315;602.2;2.5;374.9;269948;20.8;6.6
8316;610.5;2.3;332.1;170996;19.5;7.5
8317;631;2.2;474.8;441885;14.6;10.1
8325;673.6;2;315.8;142593;10.6;13.4
8326;618.1;2;276.6;217181;13.3;11.1
8327;628.9;2.2;1883.8;144891;11.1;13.3
8335;562.4;2.5;241.2;292568;21;8.5
8336;595.8;2.4;384.2;233027;18.4;8.7
8337;632.9;2.4;391.3;173460;15.4;9.4
8415;626.8;2.1;277.4;291696;15.9;10.3
8416;553.7;2.3;225.3;232803;25.9;6.6
8417;676.2;1.8;319.9;193235;11;13
8421;525;2.6;190.5;128928;24.6;6.9
8425;652;2.2;386.1;202476;13.8;10.4
8426;654.2;2.3;419.8;206513;13.6;11
8435;634.3;2.3;323.1;222712;17.6;8.5
8436;635;2.3;582;290911;17.1;8.8
8437;662.4;1.9;694;134045;12.1;11.4
9161;687.2;4.1;192.7;141029;13.8;10.1
9162;492.5;3.3;205.2;1512491;26.1;4.5
9163;555;2;267.9;64403;17;8.7
9171;640.2;2.1;1543.3;113798;10;10.4
9172;617.5;2;790.2;107667;11.4;8.9
9173;633.5;2;648.4;129511;13.8;8.3
9174;606.6;2.2;428.7;156982;14.4;7.7
9175;592;2.7;412.8;146830;17.1;6.3
9176;635.7;2.1;1140.5;135591;10;9.4
9177;643.6;2.2;795.1;141680;12.2;8.4
9178;600.4;2.4;607.7;184433;16.2;7.9
9179;564.7;2.2;218;221612;17.2;6.2
9180;599;1.9;447.5;88840;12.4;7.8
9181;680.5;3.3;906.1;123032;17.4;7.4
9182;664.4;2.4;872.2;101346;12.9;7.6
9183;637.5;2.1;1317.1;119878;9.1;11.2
9184;670.8;3.9;258.8;355890;18.5;5.3
9185;668;1.7;1644.4;99957;9.4;10.8
9186;650.1;2.3;1746.5;132082;10.9;10.4
9187;656.9;2.4;1026.9;266945;13;8.7
9188;642.4;3.3;326;138785;19.1;5
9189;661.2;2.3;1153.7;180779;12.7;8.4
9190;651.7;2.3;796.1;138208;14;8
9261;508.4;2;171.1;75457;15.9;8.2
9262;546.1;2.3;176.9;53907;17.5;8.2
9263;568.3;2.1;205.1;49164;9.6;11.6
9271;655.3;2;1447;122121;7.5;13.3
9272;678.3;1.6;962.7;79286;5.7;15.1
9273;654;2.1;1252;125701;8.7;11.3
9274;677;2.3;1888.7;164773;9.2;10.3
9275;666.5;2.1;1123.6;196963;7.1;12.9
9276;653.1;1.7;1788.4;78035;5.6;15.9
9277;679.8;1.9;1846.7;124436;7.5;11.4
9278;677.8;2;2407.9;103806;6.7;11.8
9279;703.8;2.1;3919.3;100306;6.6;13.7
9361;593.4;2.3;188.6;42534;11.6;11.6
9362;523.8;2.6;180.9;157443;23.8;7
9363;613.2;1.7;189.1;43052;9.6;11.5
9371;683.5;2.5;902.5;104436;8.3;10.8
9372;693.9;1.9;2043.7;130193;6;13.8
9373;658.8;2.2;1662;138086;9.7;9.8
9374;686.1;1.8;1108.2;95954;6.6;11.6
9375;650.7;2.3;588.8;198160;10.8;10.1
9376;675.4;1.6;1676.7;151711;6.7;13.2
9377;681.7;1.5;2038.1;72172;6.2;10.9
9461;513.6;2.4;155.5;79935;22.9;7.8
9462;540.1;3.3;179.9;74506;18.7;7.3
9463;599.3;2.3;148.5;41842;15.9;7.9
9464;553;1.8;222.1;46656;9.9;11.3
9471;690.9;1.9;1354.7;149122;9;12.7
9472;691.2;1.8;1665.1;104702;8.8;9.7
9473;684.8;1.9;923.9;87103;9;10.9
9474;670.1;2.1;484.5;117948;12.5;9
9475;679.9;1.6;1500.1;94589;7.3;11.5
9476;691.5;1.5;3191.4;66393;6.3;11.3
9477;701.3;1.8;1440.3;71653;9.4;10.3
9478;672.8;1.5;1131.5;67328;8.3;11.5
9479;659.6;1.6;631;72006;7.1;12.1
9561;607.6;2;232.5;42221;13.9;11.3
9562;480.6;2.3;187.3;116562;26.2;5.4
9563;490.6;2;173.9;131433;18.9;8.7
9564;473.8;1.9;215.3;523026;19.3;7.9
9565;642.8;2.5;253.9;41227;15.1;8.9
9571;679.1;2;1359.4;188623;11.5;10.1
9572;660.6;2.8;409.2;140994;16.4;8
9573;652.4;2.1;457.8;119923;14.5;8.9
9574;650.8;2.2;623.5;172665;15.1;8.1
9575;667.3;2.3;1660.1;103303;11.6;9.6
9576;684.7;2;1119.8;128694;12.2;9.1
9577;654.8;2.2;1659.1;97120;11.2;9.3
9661;595.7;2.5;160;72444;17.4;9.3
9662;539.4;2.1;152.6;54675;11.6;12.3
9663;506.6;2.5;188.9;127810;25.6;5.9
9671;673.7;2.3;256.9;176958;13.1;9.5
9672;684.8;2;1508;104567;9.3;10.2
9673;688.3;3.9;1419.6;80341;9.4;10.1
9674;697.9;2.1;1939.2;84984;8.8;11.7
9675;670.9;2.2;1001.4;93247;11.5;8.8
9676;673.8;1.6;446.8;129835;11.3;9.3
9677;680.4;1.9;602.8;127132;11.4;8.5
9678;677.1;2.2;1660.2;117044;10.3;10.2
9679;653.8;2.5;453.4;165339;14.8;7.1
9761;466.5;1.7;208;301033;19.8;8.9
9762;568.3;1.9;233.9;45792;13.8;11.1
9763;572.8;2.4;168.3;70056;16.8;9.6
9764;593.4;1.9;280.2;45857;13.2;11.3
9771;648.5;2.3;553.4;137334;12.3;9.8
9772;647.9;2.2;505;261342;12.6;9.9
9773;674.1;1.7;983.5;99109;8.9;12.8
9774;663.3;1.9;937.7;130112;9.3;12.7
9775;622.7;1.8;353.3;180425;12.9;11
9776;640.1;2.2;554.1;83393;16.6;7.1
9777;650.6;2.3;944.8;145378;12.7;8.5
9778;677.1;1.8;1463.6;150068;9.7;11.8
9779;683.4;1.9;1448.5;137137;10.1;9.6
9780;652.7;2.1;652.7;158942;13.9;7.7
10041;583.2;1.7;204.9;330848;0;9.7
10042;696;1.6;403.4;104425;0;9.7
10043;659.5;1.6;237.9;132283;0;11.3
10044;686.4;1.6;301;195749;0;10.2
10045;692.9;1.9;233.2;142419;0;10.7
10046;717.4;2.9;298.4;86942;0;8.7
11000;330.7;2;211.5;3755251;22.4;8.4
12051;476.5;1.5;238.9;73609;9.6;15.8
12052;493;1;228.1;99515;7.4;20.3
12053;487.1;0.8;219;58230;7.8;18.3
12054;417.4;1.8;228.9;185750;21.4;9.2
12060;567.5;1.6;489.1;191849;9;17.4
12061;599.6;1.5;574.9;178967;8.6;18.1
12062;628.8;0.7;883.3;100902;4.2;24.6
12063;568;1.9;442.7;169334;10.3;16.3
12064;597.4;1.3;707.4;200292;7.5;19.2
12065;578.1;1.7;518.1;218551;9.6;17
12066;605.5;0.7;641;108263;4.2;25.1
12067;595.3;1.2;750.1;182401;6.9;20.7
12068;591.1;0.9;848.1;99871;7.1;18.2
12069;590.3;2;520.1;222570;12.7;13.1
12070;611.3;0.8;1089.7;76045;5.2;19.2
12071;631.8;0.8;675.6;112493;4;27.4
12072;600.7;1.6;675.3;176648;8.5;17.1
12073;582;0.9;962.8;117845;5.4;21.2
13003;414.7;1.3;229.5;209920;14.6;11.4
13004;453.4;1.2;219.8;98596;11.1;13.7
13071;564.9;0.7;1481.6;259568;5.2;20.7
13072;581.6;1.2;1112.6;220807;6.7;18
13073;553.3;1;955.4;227683;6.6;20.3
13074;573.5;1.2;995.9;160288;8.6;16
13075;536.3;0.9;1234.1;237355;7.4;22
13076;604.2;0.8;1476.2;214161;5.3;17.9
14511;508.5;1.4;218.7;248563;9.1;21.6
14521;617.5;0.9;408.4;328850;3.5;30.2
14522;599.2;0.9;482.9;300639;4.6;29.4
